,Player,Age,Team,Pos1,Pos2,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,DrbP,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB
187,Hasan Huseyin Acar,24,KAY,DMC,,1069,3,1,2,-,0.8,85.3,0.6,-,6.58,1.3,0.6,1.1,-,0.8,1.5,0.2,-,0.6,1.1,0.3,0.1,1,0.7,34.5,0.2,2.4,0.1
188,Olcay Sahan,32,TS,M(LR),,877,2,3,2,-,0.4,77.4,0.1,1,6.57,1.5,0.4,0.5,-,0.4,1.4,-,-,1,0.5,0.8,0.1,0.7,0.7,21.6,0.2,0.4,-
189,Atila Turan,27,KAY,D(L),M(L),2143,-,2,8,-,0.6,74.5,1.3,1,6.57,1.4,1.3,0.9,0.4,2.1,0.5,0.1,-,0.9,0.6,0.6,0.3,0.5,1,29.6,0.6,1.9,-
190,Allano,24,BUR,AM(LR),,1879,1,3,8,-,1.6,72.1,1.4,1,6.57,1.1,0.5,1.9,-,0.3,0.7,-,-,0.9,1.1,1.9,0.2,1.4,2.5,20.9,0.5,0.6,0.1
191,Silviu Lung Jr.,30,KAY,GK,,2531,-,-,3,1,-,54,0.4,1,6.57,-,-,0.1,-,1.1,-,-,-,-,-,0.3,-,-,0.1,26,-,5.9,-
192,Tiago Lopes,30,KAY,D(R),,2597,-,-,9,2,0.4,76.1,1.9,-,6.57,1.3,1.2,1.5,0.2,2.7,1.2,0.4,-,0.9,0.7,1.4,-,0.6,1,38.9,0.9,2.3,-
193,Abdoul Sissoko,29,AKH,D(C),M(CL),2763,-,-,5,-,0.6,85.6,1.6,-,6.56,1.5,1.4,1.4,0.1,1.4,0.7,0.3,-,0.4,0.6,1.5,-,0.9,1,41.8,0.1,2.7,-
194,Aly Cissokho,31,ANT,D(L),M(L),1837,-,2,1,1,0.2,77.1,1.4,-,6.55,1.1,1.2,0.7,0.2,2.7,0.2,0.2,-,0.5,0.4,0.3,-,0.5,0.5,26,0.6,1.2,-
195,Serginho,32,AKH,M(C),,1669,-,-,8,-,0.9,83.3,1,-,6.55,1.5,1.1,1.7,-,0.8,1.3,-,-,0.7,1.2,1.5,-,1.1,1.7,32.5,0.1,1.7,-
196,Abdou Traoré,30,KON,AM(CLR),FW,1178,-,3,4,-,0.6,81.7,0.5,-,6.54,0.8,0.7,1.2,-,0.4,1.2,0.1,-,0.9,1.1,1.4,0.1,1.5,1.8,24.7,0.5,0.6,0.1
197,Özer Hurmaci,32,ERZ,M(CLR),,1203,-,1,3,-,1.3,76.3,0.6,1,6.54,1.1,0.3,1.1,-,0.3,0.6,0.1,-,1.4,1.1,0.9,0.2,2.1,1.4,32.8,0.5,1.4,0.1
198,Jakub Brabec,26,RIZE,D(C),,1489,-,-,3,-,0.6,79.9,2,-,6.53,1.6,1.3,0.5,0.6,4.5,0.7,0.9,-,0.1,0.2,0.4,-,0.1,0.4,40.5,-,3.6,-
199,Haydar Yilmaz,35,ALN,GK,,2410,-,-,1,-,-,64.9,0.4,2,6.53,-,-,-,-,0.8,-,-,-,-,-,0.1,-,-,-,22.9,-,5.7,-
200,Zargo Toure,29,TS,D(C),,1986,-,-,1,-,0.1,86.6,1.5,-,6.53,0.7,1.1,0.5,0.4,3.5,0.3,0.6,-,0.1,0.2,0.3,-,-,0.2,36.3,-,1.6,-
201,Mehmet Umut Nayir,26,BUR,FW,,1243,4,-,3,-,1.4,58,4,1,6.53,0.3,0.1,0.8,-,0.7,0.3,-,-,0.3,0.2,1.4,0.1,0.4,1.5,11.7,-,0.1,-
202,Caner Osmanpasa,31,AKH,D(CR),,2716,-,-,4,-,0.1,81,2.1,-,6.53,1,1.3,0.6,0.6,3.5,0.2,0.9,-,-,0.1,0.5,-,0.1,0.4,35.7,-,3,-
