,Player,Age,Team,Pos1,Pos2,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,DrbP,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB
14,Fernando,32,GS,DMC,,1857,2,4,9,-,0.6,87.3,2,2,7.13,1.6,1.4,0.8,-,1.5,1,0.4,-,1,0.4,0.6,0.1,0.5,0.7,55.1,-,3.5,0.1
15,Hugo Rodallega,34,TS,FW,,2690,15,2,4,-,3.9,75.3,2.3,5,7.12,0.3,0.2,1.8,-,0.8,0.2,-,-,0.8,0.6,1.2,0.3,0.8,1.4,22.5,0.1,0.5,0.1
16,Khalid Boutaïb,32,YMS,FW,,1237,4,3,4,-,2.2,71,4.4,1,7.12,1.6,0.5,1.9,0.1,1.4,1.1,0.1,-,1.1,0.7,1.5,0.3,2.6,3.3,23.3,0.1,0.6,-
17,Sofiane Feghouli,29,GS,M(CR),,2107,9,6,2,-,1.8,81.2,0.9,5,7.11,0.6,0.7,1,-,0.3,0.3,-,-,1.3,1,1.3,0.1,1.1,2,36.3,0.8,1.9,-
18,Douglas,28,SIV,D(R),M(R),2821,3,7,2,2,0.9,79.2,1.3,3,7.11,2.7,1.3,1.6,0.4,1,1.5,0.3,-,1.3,2.5,2.3,0.1,2.4,1.9,46.2,0.6,3.1,0.1
19,Gaël Clichy,33,IBFK,D(L),,2185,1,1,1,-,0.2,81.5,1.4,2,7.1,1.9,2.1,0.8,0.1,2.1,0.6,0.1,-,1,0.9,0.5,-,0.5,0.5,62,0.4,2.5,-
20,Tiago Pinto,31,ANK,D(L),,2249,1,-,8,-,0.3,71.5,1.2,2,7.09,2.3,3.3,1.2,0.3,3.5,0.8,0.4,-,0.7,1.3,1.2,-,0.7,1.6,32.3,0.3,2,-
21,Irfan Kahveci,24,IBFK,M(CL),,2544,4,5,6,-,1.6,83.7,1.3,4,7.09,1.5,1.2,2.1,0.1,0.6,1.2,0.1,-,1.2,1.2,1.5,0.2,1.2,1.8,40.2,0.7,1.3,0.1
22,Ricardo Quaresma,35,BJK,AM(LR),,1859,3,11,7,1,1.4,79.8,0.3,4,7.08,0.9,0.3,0.9,-,0.3,0.5,-,-,2.4,1.3,1.7,0.2,1,1.9,25.7,2.3,1.2,-
23,Yusuf Yazici,22,TS,M(CLR),,2353,4,2,11,-,2.5,83.4,0.6,2,7.07,1.7,0.6,1.8,-,0.2,1.4,0.1,-,1.9,1.6,1.6,0.1,1.9,2.4,37,1.3,1.4,0.1
24,Deniz Türüç,26,KAY,M(CLR),,2262,3,5,6,-,1.9,79.6,0.9,1,7.04,1.5,0.5,1.4,-,1.2,0.8,0.1,1,1.9,1.8,1.7,0.1,1.9,2.7,31.7,1.3,1.4,-
25,Fabrice N'Sakala,29,ALN,D(L),M(L),2868,-,1,5,-,0.2,79.7,1.9,2,7.04,3.2,1.9,1.4,0.3,2,0.9,0.2,-,1,1.3,1.3,0.1,1,1.7,34.9,0.8,1.5,-
26,Sadik Ciftpinar,26,YMS,D(C),,1422,-,-,1,1,0.1,82.8,3.4,-,7.03,1,1.6,1,0.4,7.6,0.1,0.9,1,0.4,-,1,-,-,0.3,36.6,-,3.2,-
27,Aytac Kara,26,BUR,M(C),,2828,6,1,12,-,2.1,84,2,4,7.03,2.9,1.4,1.5,-,0.8,1.9,0.3,-,0.8,0.5,2,-,0.7,1,54.6,0.5,4,0.1
28,Braian Samudio,23,RIZE,AM(LR),,2036,5,4,4,2,1.7,73.5,3.7,3,7.03,1.3,0.4,1.4,-,1,0.9,0.1,-,1.4,1,0.9,0.2,1.3,2.5,32.6,0.3,0.8,0.1
29,Nabil Dirar,33,FB,D(R),M(CR),1341,1,4,3,-,0.9,78.8,1.4,1,7.02,1.9,0.9,1.9,-,1.3,0.8,0.1,-,1.4,1.1,1.6,0.4,1.8,1.3,44.6,0.9,0.8,-
30,Badou Ndiaye,28,GS,M(C),,1926,3,3,5,1,1.4,87.6,0.4,-,7.01,2.6,0.4,1.4,-,0.6,1.4,0.2,-,0.8,1.5,1.9,-,1,1.3,48.8,-,1.9,-
31,Ogenyi Onazi,26,TS,DMC,,1306,2,1,4,-,1.2,85.9,0.6,-,7,3.1,1.7,1.9,-,0.6,1.6,0.1,1,1.1,0.9,1.1,-,0.6,1.1,65.6,-,4.7,0.1
32,Hakan Özmert,34,ANT,M(C),,2688,4,5,9,-,1.5,82.1,0.6,2,7,1.5,0.7,1.2,-,1,1.6,0.2,-,1.5,1.7,1.6,-,1.3,1.4,42.2,1.6,4.1,-
33,Fernando Boldrin,30,RIZE,AM(CR),,2608,4,7,8,-,1.8,85.9,0.4,-,7,0.8,0.4,1.2,-,0.3,0.7,0.1,-,2.4,1.4,2.1,0.1,1.9,2.7,42.9,1.8,1.6,0.1
34,Henry Onyekuru,22,GS,AM(LR),FW,2522,14,3,7,-,2,74.3,0.6,3,7,0.4,0.6,0.8,-,0.2,0.3,0.1,-,1,1.3,1,0.6,1.6,2.7,15.2,0.1,0.5,-
35,Emre Kilinc,24,SIV,AM(LR),,2611,7,6,4,-,1.8,75.3,1,1,6.99,1.1,0.6,1.6,-,0.2,1.2,0.1,-,1.7,1.4,1.8,0.4,1.2,2.1,31.3,0.6,1.1,-
36,Nazim Sangaré,25,ANT,D(R),,2880,2,4,6,-,0.3,77,1,-,6.98,2,2.6,0.9,0.3,2.5,1,0.3,-,0.7,1,2.3,-,0.5,1.2,24.6,0.3,1.2,0.1
37,Abdulkadir Omur,20,TS,AM(CLR),,2212,5,8,1,-,1.4,86.3,0.5,4,6.98,1.3,0.6,0.5,-,0.2,1,-,-,1.1,1.5,2.1,0.1,1.9,1.6,35.4,-,0.2,0.1
38,Stéphane Badji,29,BUR,DMC,,2543,-,-,8,-,0.5,87.5,2.9,1,6.96,2.9,2.1,1.8,-,1.2,0.9,0.1,-,0.4,0.4,1.3,-,0.6,0.9,65.4,0.3,4.8,-
39,Bernard Mensah,24,KAY,M(C),,1755,3,1,5,1,1.8,86.3,0.8,4,6.95,1.6,0.8,2.5,-,0.5,0.9,0.2,-,1,2.2,1.4,-,1.8,1.8,41.7,0.5,3.5,-
40,Júnior Caiçara,30,IBFK,D(R),M(R),2970,-,2,7,-,0.6,86.3,1.1,-,6.95,2.4,1,1.4,0.2,2.7,0.8,0.3,-,0.8,0.6,0.7,-,0.5,1.3,56.3,0.5,1.7,-
41,Djalma,32,ALN,AM(CLR),,2247,4,5,3,-,1.6,72.6,0.6,3,6.95,1.2,0.7,1.4,0.1,0.4,0.9,-,-,1.3,2.1,1.8,0.3,1.7,2.7,26.5,1.1,0.6,0.1
42,Papiss Demba Cissé,34,ALN,AM(R),FW,2242,16,-,6,1,3.8,75.5,2.6,2,6.95,0.3,0.2,1.1,0.1,0.9,0.2,-,-,0.4,0.8,0.8,1.3,2.4,3.7,27.3,0.1,0.5,-
43,Emrah Bassan,27,ERZ,AM(R),,2321,1,10,4,-,1.5,75.3,0.7,4,6.95,1.2,0.5,1.1,-,0.4,1,-,-,1.7,1.2,1.9,0.4,2,1.9,20.6,1.7,0.9,0.1
44,Atiba Hutchinson,36,BJK,D(R),DMC,2251,4,1,-,-,0.4,90.8,1.6,2,6.95,2,1.3,1.3,0.1,0.9,0.7,0.2,-,0.5,0.7,2.5,-,1,1.3,57.3,-,2.1,-
45,Ugurcan Cakir,23,TS,GK,,1800,-,-,2,-,-,45.5,0.7,1,6.94,0.1,-,-,-,0.6,0.1,-,-,-,-,0.3,-,-,-,23.9,-,5.9,-
46,Adem Büyük,31,YMS,AM(CLR),FW,2120,6,1,7,1,1.7,68.8,2.8,1,6.94,1.6,0.5,2,-,1.4,1.2,-,-,0.9,1,3,0.3,1.6,2,23.9,0.1,1.6,0.1
47,Lucas Villafañez,27,ALN,AM(CR),,2161,-,6,7,-,0.9,76.6,0.4,2,6.93,1.7,0.8,1.7,-,0.3,1.3,0.1,-,2.2,1.4,1.8,0.1,1.3,2.3,30.2,1.6,1,-
48,Mariano,33,GS,D(R),M(R),2491,-,5,10,-,0.2,82.3,0.3,1,6.93,2.1,1.1,0.7,0.2,1,0.8,0.2,-,1.3,0.5,0.6,0.1,0.4,1,47.2,1,2.6,-
49,Josué,28,AKH,M(CR),,1573,2,3,4,-,2,82.8,0.2,1,6.93,1.6,1,1.3,-,0.2,0.7,0.1,-,2,0.9,2.4,0.1,2,1.6,54.8,1.4,6,0.2
50,Umut Meras,23,BUR,D(L),,2348,2,-,4,-,0.7,74.7,2.2,-,6.92,1.8,2.3,1.1,0.3,1.7,1.3,0.1,-,0.4,0.9,0.7,-,0.6,0.9,39.8,0.6,2.3,-
51,Abdulkadir Parmak,24,TS,DMC,,1242,2,2,4,-,0.8,87.8,0.5,1,6.92,2.1,1.1,1.3,0.1,0.6,1.1,0.1,-,0.7,1.1,2.2,-,1.1,1.2,38.6,0.1,1.3,-
52,Chidozie Awaziem,22,RIZE,D(CR),,1359,-,-,3,-,0.6,84.2,3.4,1,6.92,1.7,0.6,1,0.2,6.1,0.3,1,-,0.1,0.1,0.5,0.1,0.1,0.3,44.3,-,3.5,-
53,David Braz,32,SIV,D(C),,2693,3,-,10,-,0.6,81.9,3.1,2,6.91,1.9,1.2,1,1.1,5.5,0.6,0.6,-,0.1,0.1,0.4,-,0.1,0.2,43.2,-,3.3,-
54,Halil Akbunar,25,GOZ,AM(LR),,2060,3,5,1,-,1,75.5,1,2,6.91,2.2,0.5,1.1,-,0.2,1.4,0.1,-,1.3,1.5,0.9,0.2,1.9,2.1,21.9,0.6,0.5,-
55,Gökhan Akkan,24,RIZE,GK,,3016,-,-,2,-,-,65.5,0.5,-,6.91,-,-,-,-,0.9,0.1,-,-,-,-,0.3,-,-,-,24.4,-,7.3,-
56,Diego Angelo,33,ANT,D(C),,2592,3,2,8,1,1.1,81,3.2,4,6.9,1.5,1.2,0.7,0.6,5.3,0.8,0.7,1,0.3,0.2,0.7,0.1,0.1,0.2,54,-,5.1,-
57,Mauricio Isla,31,FB,D(R),M(CR),2292,-,6,5,-,0.2,83.3,1.7,2,6.9,2.1,1.4,1,0.2,1.8,1.1,-,-,1.3,0.8,0.9,0.3,0.4,1.1,43.6,0.8,2.2,-
58,Huseyin Turkmen,21,TS,D(C),,2016,-,1,2,-,0.3,80.8,2.6,-,6.9,1.6,2.5,0.3,0.3,4.8,0.7,0.8,-,0.1,-,1,-,0.2,0.3,41.9,-,3,-
59,Serkan Kirintili,34,KON,GK,,2970,-,-,2,-,-,46.1,0.7,3,6.9,-,0.1,-,-,1.4,-,-,-,0.1,0.1,0.3,-,-,0.1,29.5,-,9.6,-
60,Aurélien Chedjou,34,BUR,D(C),DMC,2324,1,-,4,-,0.7,80.1,2.2,1,6.9,1,2.2,0.5,0.7,4.4,0.3,0.2,1,0.4,0.6,0.5,-,0.2,0.5,45.3,-,4.2,-
61,Yasin Öztekin,32,GOZ,M(LR),,1934,8,2,7,-,2.2,79.1,0.4,2,6.9,1.1,0.4,1.3,-,0.1,0.7,-,-,1.4,1.5,1.2,0.3,1.9,2.8,27.1,1.2,0.8,-
62,Mathieu Valbuena,34,FB,M(CLR),,1176,3,7,2,-,1.5,83.4,0.2,1,6.9,0.5,0.4,0.6,-,-,0.6,-,-,1.9,1,1.6,0.1,1.1,1.6,34.7,1.5,1.2,-
63,Emre,38,IBFK,M(C),,1651,1,-,11,-,0.6,84.4,0.9,1,6.9,2.2,1,1.7,-,0.9,1.6,0.2,-,1.5,0.5,2,-,0.4,0.9,51.9,0.5,3.6,-
64,Baiano,32,ALN,D(R),,2225,-,1,6,-,0.3,77.4,1.7,1,6.9,2.3,1.5,1.6,0.5,2.6,0.8,0.3,-,0.9,0.5,1.1,0.1,0.5,0.9,40.3,0.9,3.2,-
65,Omer Sahiner,27,KON,D(LR),M(CLR),2189,8,3,5,1,1.1,72,0.6,1,6.89,1.2,0.8,0.8,-,0.5,0.6,-,-,1.6,0.6,0.9,0.6,1.1,1.6,21.2,1.3,0.9,0.2
66,Miguel Lopes,32,AKH,D(CR),,1705,1,1,7,-,0.6,78.1,2.3,5,6.89,2.3,1.7,0.8,0.2,4.3,0.6,0.8,1,0.7,1,0.9,-,0.7,1,38.7,0.4,3.3,-
67,Efecan Karaca,29,ALN,M(CLR),,2784,2,7,1,-,1.1,78.1,0.4,2,6.89,1.7,0.6,0.8,-,0.3,0.9,0.1,-,1.3,1.4,2.2,0.3,1.2,2.4,28.1,0.7,1.1,-
68,Robinho,35,IBFK,AM(CLR),FW,1251,4,3,3,-,2,83.8,0.5,-,6.88,0.6,0.3,1.3,-,0.2,0.6,-,-,1.4,0.9,0.6,0.5,1.1,1.8,29.8,0.1,1,0.1
69,Aminu Umar,24,RIZE,AM(LR),FW,2183,6,3,2,-,1.3,74,1,1,6.88,1.4,0.9,1.6,-,0.5,0.7,0.1,-,0.9,1.5,1.2,0.7,2.4,2.6,27.5,0.2,0.7,-
70,Syam Ben Youssef,30,KAS,D(C),,2880,2,-,5,-,0.7,82.1,4.3,1,6.88,1.8,1.6,1.4,0.4,5.3,0.8,0.6,-,0.3,0.3,0.3,0.2,0.2,0.6,43.5,-,3.8,-
71,Roberto Soldado,34,FB,FW,,1459,6,4,5,2,2,77.3,1.2,-,6.88,1.1,0.4,1.1,-,0.7,0.5,-,-,0.8,0.5,1,0.4,0.6,1.6,20.1,-,0.5,-
72,Arturo Mina,28,YMS,D(C),,2174,3,2,5,1,0.4,74.3,2.7,1,6.88,1.1,1.3,0.9,0.4,5.7,0.5,0.5,-,0.5,0.6,0.8,-,0.3,0.9,35.5,-,4,-
73,Domagoj Vida,30,BJK,D(CR),,2695,3,-,8,1,0.5,83.9,2.8,1,6.87,1.1,2.1,1.3,0.8,3.9,0.2,0.4,-,0.1,0.1,0.9,-,0.1,0.4,48.2,-,2.9,-
74,Martin Skrtel,34,FB,D(C),,2430,1,-,5,-,0.5,89,2.9,1,6.87,1.2,1.1,0.9,0.8,6.3,0.5,1.2,1,0.2,0.1,0.6,0.1,-,0.3,54.9,-,3.3,-
75,Fousseni Diabaté,23,SIV,AM(R),FW,1418,2,3,-,-,1.2,79.3,0.8,-,6.86,1.2,0.2,0.8,-,0.2,0.7,0.1,-,1.1,2.1,1.2,0.2,1.5,2.9,26.8,0.4,0.2,-
76,Sinan Gümüs,25,GS,AM(R),FW,1155,4,2,5,-,1.7,76.5,0.9,1,6.86,0.9,0.2,0.7,-,0.6,0.6,-,-,0.8,0.9,1.2,0.1,0.9,1.4,15.9,0.4,0.5,-
77,Hélder Barbosa,32,AKH,AM(LR),,1976,4,2,4,-,1.5,79.4,0.9,2,6.86,1.1,0.8,0.9,-,0.3,0.8,-,-,1,1.6,2.1,0.1,1.5,1.6,30,0.7,1.7,-
78,Mevlüt Erdinc,32,ANT,FW,,1464,12,1,-,-,1.8,78,1.4,2,6.86,0.3,-,0.5,-,0.6,0.1,0.1,-,0.3,0.7,0.6,0.4,0.8,1.4,9.7,0.1,0.2,-
79,Jens Jonsson,26,KON,D(C),DMC,1862,4,-,4,-,0.8,82.7,1.5,-,6.85,1.5,1.7,1,-,1.7,0.7,0.6,-,0.3,0.2,1.1,-,0.4,0.3,36.7,-,1.6,-
80,Tjaronn Chery,31,KAY,AM(CLR),FW,2850,9,4,3,-,2.8,86.7,0.1,4,6.85,0.6,0.5,0.9,-,0.3,0.9,0.1,-,1.5,1.1,1.5,0.4,1.3,2.1,31.7,0.4,1.5,0.2
81,Loris Karius,26,BJK,GK,,2700,-,-,2,-,-,59.9,0.4,-,6.84,-,0.1,-,-,0.9,-,-,-,-,-,0.2,-,-,0.1,24.3,-,5.3,-
82,Hasan Ali Kaldirim,29,FB,D(L),,2701,2,3,6,1,0.8,80.6,1.2,1,6.84,2,0.9,0.8,0.2,2,0.5,0.3,-,1,0.7,1,0.1,0.3,0.5,46.8,0.9,2.1,-
83,Léo Schwechlen,30,ERZ,D(CL),,3060,1,-,1,-,0.3,77.7,1.5,1,6.84,2.9,2,1.1,0.3,2.7,0.6,0.1,-,0.7,0.2,1.4,0.1,0.5,0.9,34.4,0.3,1.8,-
84,Márcio Mossoró,36,IBFK,AM(C),,2028,3,4,3,-,0.7,82.5,0.3,2,6.83,1.6,0.9,0.8,-,0.3,1,-,-,1.4,0.9,1.1,0.2,1.1,1.6,38.9,0.1,1.2,0.1
85,Danijel Aleksic,28,YMS,AM(CR),,2483,10,6,7,-,1.9,74.8,1.1,5,6.83,0.8,0.4,0.9,-,0.7,1.2,0.1,-,1.4,0.3,1,0.2,1.2,1.7,25.6,1,1.6,0.1
86,Ryan Donk,33,GS,D(C),DMC,1478,2,2,3,-,0.7,85.2,2.7,-,6.83,1.1,0.5,0.8,0.2,2,0.5,0.1,-,0.5,0.4,0.9,-,0.6,1,45.4,-,2.7,0.1
87,Georgios Tzavellas,31,ALN,D(CL),,2430,1,-,6,-,0.5,75.9,2.3,-,6.82,1,1.6,0.9,0.7,4.1,0.4,0.5,-,0.4,0.4,1.4,-,0.1,0.4,44,0.1,6.4,-
88,Filip Novak,29,TS,D(L),,2577,5,2,4,-,0.7,83.4,1.9,1,6.82,1.5,1.4,1.1,0.2,1.8,0.8,0.2,-,0.6,0.6,0.8,0.1,0.4,0.8,30.8,0.1,0.7,-
89,Fabien Farnolle,34,YMS,GK,,1800,-,-,4,-,-,49.1,0.3,1,6.82,-,-,0.1,-,1,0.1,-,-,-,-,0.2,-,-,-,25.2,-,7.8,-
90,Henri Saivet,28,BUR,M(CLR),FW,2090,2,2,1,-,0.8,79.2,1.4,-,6.82,1.7,0.5,0.6,-,0.5,1,-,-,1.5,1,0.6,0.1,0.7,1.1,36.2,0.6,1.5,-
91,Marwane Saadane,27,RIZE,D(C),DMC,2108,2,-,9,1,0.6,82.6,2.4,2,6.82,2.4,1.5,1.2,0.2,3.7,0.6,0.7,-,0.2,0.5,0.6,-,0.3,0.4,34.8,-,2.5,-
92,Altay Bayindir,21,ANK,GK,,1530,-,-,2,-,-,54.2,0.8,3,6.82,0.1,-,-,-,1.5,-,-,-,0.1,0.1,0.1,-,-,0.1,29.5,-,8.6,-
93,Serhiy Rybalka,29,SIV,M(C),,1938,4,2,3,-,1.4,86.3,0.6,2,6.82,1.1,0.5,1.3,-,0.5,0.6,0.1,-,1.9,0.2,1.5,0.1,0.9,0.6,39.4,1.2,3.3,0.1
94,Ibrahim Sehic,30,ERZ,GK,,2880,-,-,3,-,-,64.3,0.4,-,6.82,-,-,-,-,0.6,-,-,-,-,0.1,0.3,-,-,-,31.2,-,6.2,-
95,Strahil Popov,28,KAS,D(R),,2924,-,2,3,1,0.4,80,1.5,-,6.81,2.1,1.2,0.9,0.3,3.4,0.6,0.2,-,1.2,0.4,0.4,0.1,0.6,0.8,36.8,1.4,1.8,-
96,Hakan Arslan,31,SIV,M(C),,2970,3,2,5,-,1.2,80.7,3.1,1,6.81,2.5,1.6,1.7,-,1.6,1.1,0.3,-,0.5,0.2,1.4,-,0.5,0.8,42,-,2.3,-
97,Samuel Eduok,25,KAS,AM(LR),,1296,5,1,4,-,2.6,77.8,0.6,-,6.81,1.2,0.4,1.6,-,0.3,0.6,0.1,-,0.9,1.1,0.7,0.3,2,2.1,20,0.7,0.4,-
98,Mahmut Tekdemir,31,IBFK,D(C),DMC,2807,-,-,6,-,0.4,87.6,1.2,-,6.81,1.2,1.3,1,0.5,2.5,0.6,0.7,-,0.4,0.2,1.5,-,0.5,0.3,68.6,-,3.5,-
99,Yuto Nagatomo,32,GS,D(LR),M(LR),1530,1,2,2,-,0.4,84.3,1.1,1,6.8,1.2,1.5,1.2,0.2,1.9,0.4,0.1,-,0.8,0.5,0.7,0.1,0.5,1.1,33,0.5,1.1,-
100,Fehmi Mert Günok,30,IBFK,GK,,3056,-,-,1,-,-,64,0.4,1,6.8,-,-,-,-,0.5,-,-,-,-,0.1,0.3,-,-,0.1,31.3,-,4.7,-
101,Ugur Demirok,31,KON,D(C),,2065,1,-,6,-,0.3,80.9,2.4,1,6.8,1.2,1.5,1,0.3,5.7,0.3,0.7,1,-,-,0.6,-,0.1,0.2,35.8,-,3,-
102,Taylan Antalyali,24,ERZ,M(C),,2345,6,3,3,-,1.5,81,1.2,1,6.8,1.1,0.6,1.3,-,0.7,0.3,0.2,-,1.1,0.9,0.6,-,1.1,1.9,33.6,0.2,2,-
103,Ibrahim Akdag,28,ERZ,DMC,,2058,3,1,6,-,1.7,84.4,0.6,-,6.8,2.1,0.6,1.5,-,0.4,0.9,0.2,-,1.3,1.2,1.3,-,1.3,1,41.2,0.2,2.3,0.1
104,Musa Cagiran,26,RIZE,M(C),,1135,-,1,4,-,1.8,82.7,1,1,6.79,2.4,1.2,1.6,-,0.9,0.9,0.4,-,0.2,1.3,1.8,-,1.6,0.9,31.6,0.1,2.8,0.1
105,Wallace Reis,31,GOZ,D(C),,2398,1,-,7,1,0.6,83.8,2.8,1,6.79,1,2,0.7,0.8,4.3,0.1,0.6,-,0.2,0.1,0.4,-,-,0.2,40.4,-,2.1,-
106,Welinton,30,ALN,D(C),,1409,1,-,5,1,1,75.4,3.2,1,6.79,2.3,1.4,1.6,0.4,3.5,1,0.3,-,0.8,0.3,1.1,0.1,0.1,0.7,37,0.4,2.9,-
107,Guven Yalcin,20,BJK,AM(L),FW,1098,8,2,2,-,1.7,74,0.6,1,6.79,1,0.3,1,-,0.3,0.7,-,-,0.5,0.8,1,0.1,0.9,1.3,13.9,-,0.7,-
108,Tolgahan Acar,33,SIV,GK,,2340,-,-,1,-,-,56.9,0.5,1,6.79,-,-,-,-,1.1,-,-,-,-,-,0.2,-,-,-,23,-,4.9,-
109,Martin Linnes,27,GS,D(LR),,1027,2,1,3,-,0.5,81.2,0.7,1,6.79,1.2,0.7,0.3,0.1,1.4,0.8,0.3,-,0.7,1.1,0.5,-,0.7,0.7,25.5,0.5,0.3,-
110,Caleb Ekuban,25,TS,AM(R),FW,1446,5,2,3,-,1.9,79.2,1.2,2,6.78,0.8,0.3,1.3,-,0.4,0.3,0.1,1,1,1.3,0.9,0.1,1.1,2,14.9,0.1,0.2,-
111,André Castro,31,GOZ,M(C),,2638,1,9,3,1,1.7,77.6,1.2,-,6.78,2,0.9,1.5,-,0.7,1.7,0.1,-,1,0.8,1.4,-,1.2,1.8,43.7,0.4,3,0.1
112,Fernando Muslera,33,GS,GK,,2970,-,-,1,-,-,70.5,0.4,-,6.77,-,-,0.1,-,0.6,-,-,-,-,-,0.3,-,-,0.1,31.8,-,7.1,-
113,Alpaslan Ozturk,26,GOZ,DMC,,1485,3,-,7,-,0.6,78.6,2.1,1,6.77,1.3,1.7,1,0.1,2.1,0.4,0.3,-,0.3,0.3,1.2,0.2,0.5,0.8,28.8,0.1,2.1,-
114,Adriano,34,BJK,D(CLR),M(L),1412,-,2,4,-,0.5,82,1.4,-,6.77,2.1,1.5,0.8,0.4,2,0.3,-,-,0.5,0.5,0.6,-,0.4,0.3,38,0.2,2.9,-
115,Lokman Gör,28,ERZ,D(C),,2402,2,1,11,-,0.6,74,2.3,-,6.77,1.7,1.9,1.1,0.5,3.1,0.2,0.7,-,0.4,0.1,0.5,0.1,0.1,0.3,39.3,-,3.5,-
116,Jasmin Scuk,29,ERZ,DMC,,2386,4,-,2,-,1.1,85,1.4,1,6.77,1.4,1.6,0.8,-,1.9,1,0.5,-,0.3,0.5,0.7,-,0.6,0.4,44,-,2.5,-
117,Mustapha Yatabaré,33,KON,AM(R),FW,1604,5,3,4,-,1.8,61,4,2,6.77,1,0.2,1.8,-,0.5,0.6,0.2,-,0.5,0.5,1.2,0.5,1.1,2.1,19.2,0.1,0.5,-
118,Guilherme,28,YMS,D(L),M(CR),2256,5,7,8,1,0.9,83.1,0.5,1,6.76,1.7,0.6,1.5,-,0.5,1,0.1,-,1,0.7,1.4,-,1.1,1.8,29.9,0.6,1.4,-
119,Ramazan Kose,31,KAS,GK,,2189,-,-,-,-,-,54.4,0.6,1,6.76,-,0.1,-,-,1.3,0.1,-,-,0.1,0.1,0.2,-,-,-,22.4,-,5.9,-
120,Chico,32,ANT,D(CL),DMC,2092,2,1,5,1,0.5,84.1,2.8,-,6.76,1.7,1,1,0.1,2.4,0.6,0.5,-,0.3,0.1,0.9,0.1,0.3,0.4,35.5,0.1,1.7,-
121,Loret Sadiku,27,KAS,D(C),DMC,2509,1,3,10,-,0.4,85.8,1.8,1,6.76,2.3,1.9,1.8,0.1,1.8,0.8,0.3,-,0.7,0.2,0.8,-,0.7,1,38.5,0.1,1.5,-
122,Mehmet Topal,33,FB,D(C),M(C),2031,1,-,5,-,0.9,82.5,2.6,1,6.76,1.4,1.1,1.3,0.1,1.5,0.6,0.3,-,0.5,0.5,1.3,0.2,0.4,0.6,46.4,0.1,2.5,-
123,Mitchell Donald,30,YMS,M(C),,2000,5,1,8,-,1,81.5,0.8,2,6.76,1.3,1.9,1,-,1.3,0.5,0.1,-,0.8,0.4,0.2,0.1,0.6,0.7,38.3,-,2.3,0.1
124,Berkan Emir,31,GOZ,D(L),,1808,-,3,3,-,0.3,71.6,1.3,-,6.75,1.5,1.1,0.7,-,1.6,1,0.1,1,1.3,0.3,1.4,-,0.7,0.7,30.7,1.5,1.7,-
125,Jailson,23,FB,DMC,,1470,2,1,2,1,0.8,83.4,0.7,-,6.75,2.7,1.2,1.4,-,1.4,1.1,0.2,-,0.8,0.6,0.8,0.1,0.7,1.1,39.1,0.1,1.8,0.2
126,Olivier Veigneau,34,KAS,D(L),,2079,-,-,4,-,0.3,71.3,0.7,-,6.75,3.3,1.4,0.7,0.1,2.6,1.3,0.2,-,0.8,0.7,0.5,0.1,0.7,1,29.8,0.8,1.6,-
127,Titi,31,GOZ,D(C),,2880,-,1,8,-,0.3,83.3,2.6,1,6.75,1.4,1.7,0.8,0.8,3.9,0.4,0.6,-,0.3,0.1,1,0.1,0.1,0.5,47.8,-,4.4,-
128,Cameron Jerome,32,GOZ,FW,,2014,5,2,1,1,1.6,61.4,3.5,2,6.75,0.5,-,2,-,1.3,0.3,0.1,-,0.6,0.3,0.9,0.4,1,1.9,16.2,-,0.1,-
129,Celso Borges,31,GOZ,M(C),,2282,1,-,4,-,0.7,83.3,2.4,-,6.74,1.6,1.5,0.4,-,1.3,0.7,-,-,0.7,0.4,0.9,0.1,0.8,0.8,44.5,0.2,3.3,-
130,Ziya Erdal,31,SIV,D(L),,2036,-,2,3,1,0.4,79,1.3,-,6.74,1.9,1.1,0.9,0.3,2.4,0.5,0.1,-,1,0.3,0.9,-,0.4,0.8,35.4,1.3,2.6,-
131,Mohamed Abarhoun,30,RIZE,D(C),,1282,1,-,6,-,0.3,84.8,1.4,-,6.74,0.5,1.5,1.3,0.3,4.4,0.2,0.6,-,0.2,0.4,0.5,-,0.1,0.1,41.4,0.1,2.8,0.1
132,Moryke Fofana,27,KON,AM(LR),,1961,6,1,5,-,1.1,77.3,0.4,1,6.74,0.8,0.3,0.8,-,0.2,0.4,-,-,0.7,1.9,0.9,0.1,1.5,1.5,19.7,0.2,0.8,0.1
133,Bangaly-Fodé Koita,28,KAS,AM(LR),FW,1430,5,2,4,-,1.6,72.5,3.1,2,6.74,0.4,0.1,1.1,-,0.7,0.1,0.1,-,0.8,1.1,1.2,0.4,1.4,1.8,21.8,0.1,0.6,-
134,Volkan Findikli,28,KON,DMC,,1686,1,1,5,-,0.4,81.7,2.5,-,6.74,1.7,1,0.9,-,1.5,1,0.3,-,0.7,0.1,0.6,-,0.4,0.5,44.8,-,2.5,0.1
135,Mehmet Ekici,29,FB,M(CL),,1088,3,1,2,1,2,78.4,0.9,1,6.73,0.5,0.2,0.5,-,0.1,0.4,-,-,1.4,1,1.3,-,1.1,1.4,24.5,1.2,1,-
